Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
irish-blue-and-voilet-print-saga-saree,Irish Blue And Violet Print Saga Saree,"<p>With a vision to recreate the dying romance between the women and the weave, zari Banaras offers it's contemporary hue and charm to the timeless textiles of Benaras. Accentuating the feminine beauty by bringing together weaves of elegance in shades of eclectic inspiration. For this reason alone, our sarees hold the sacred devotion of the hands that create it while our designs breathe a collective creative effulgence. Together with a discerning eye to detail and impeccable standard of quality we weave perfect sartorial sophistication for a woman of taste.<span> </span><strong><em>Enjoy our hand paint edition with love from Banaras.</em></strong></p>
<p data-mce-fragment=""1"">Saree and blouse length : 6.3 meters</p>
<p data-mce-fragment=""1"">Fabric : Japan Crepe silk</p>
<p data-mce-fragment=""1"">Time to ship : 7 to 8 working days</p>",SM,Saree,"BLUE, CREPE, JAPAN CREPE, RJ, SILK, VIOLET",TRUE,Title,Default Title,,,,,ZB-RJ-KASA-DIGITAL-159004-RS,500,,1,deny,manual,5199.00,10398.00,0,0,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/3_decbd5ec-8a5f-4263-99b6-f55c8dcead07.jpg?v=1607165810,,,,,,,,,,,,,,,,,,,,g,,,active
irish-blue-and-voilet-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/4_410e7f2f-0874-4802-89df-cd9c000fd5ea.jpg?v=1607165811,,,,,,,,,,,,,,,,,,,,,,,
irish-blue-and-voilet-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/1_f355e641-d818-4c9f-8778-86d9ee71d526.jpg?v=1607165810,,,,,,,,,,,,,,,,,,,,,,,
irish-blue-and-voilet-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/2_9b7ade82-ec45-4c8a-a603-428648e91cbf.jpg?v=1607165810,,,,,,,,,,,,,,,,,,,,,,,
blue-and-yellow-shaded-print-saga-saree,Blue And Yellow Shaded Print Saga Saree,"<p>With a vision to recreate the dying romance between the women and the weave, zari Banaras offers it's contemporary hue and charm to the timeless textiles of Benaras. Accentuating the feminine beauty by bringing together weaves of elegance in shades of eclectic inspiration. For this reason alone, our sarees hold the sacred devotion of the hands that create it while our designs breathe a collective creative effulgence. Together with a discerning eye to detail and impeccable standard of quality we weave perfect sartorial sophistication for a woman of taste.<span> </span><strong><em>Enjoy our hand paint edition with love from Banaras.</em></strong></p>
<p data-mce-fragment=""1"">Saree and blouse length : 6.3 meters</p>
<p data-mce-fragment=""1"">Fabric : Japan Crepe silk</p>
<p data-mce-fragment=""1"">Time to ship : 7 to 8 working days</p>",SM,Saree,"BLUE, CREPE, JAPAN CREPE, RJ, SILK, YELLOE",TRUE,Title,Default Title,,,,,ZB-RJ-KASA-DIGITAL-159001-RS,500,,1,deny,manual,5199.00,10398.00,0,0,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/4_9f14ebc3-da02-4040-aeb6-642481a4db57.jpg?v=1654007477,,,,,,,,,,,,,,,,,,,,g,,,active
blue-and-yellow-shaded-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/1_57e1e100-6bf2-4971-acf7-79849667040f.jpg?v=1654007477,,,,,,,,,,,,,,,,,,,,,,,
blue-and-yellow-shaded-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/2_da938aeb-328f-49f8-ad6c-766433dcdb9f.jpg?v=1654007477,,,,,,,,,,,,,,,,,,,,,,,
blue-and-yellow-shaded-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/3_8546f8e5-cba7-4c43-a90e-400f95245477.jpg?v=1607162801,,,,,,,,,,,,,,,,,,,,,,,
blossom-pink-print-saga-saree,Blossom Pink Print Saga Saree,"<p>With a vision to recreate the dying romance between the women and the weave, zari Banaras offers it's contemporary hue and charm to the timeless textiles of Benaras. Accentuating the feminine beauty by bringing together weaves of elegance in shades of eclectic inspiration. For this reason alone, our sarees hold the sacred devotion of the hands that create it while our designs breathe a collective creative effulgence. Together with a discerning eye to detail and impeccable standard of quality we weave perfect sartorial sophistication for a woman of taste.<span> </span><strong><em>Enjoy our hand paint edition with love from Banaras.</em></strong></p>
<p data-mce-fragment=""1"">Saree and blouse length : 6.3 meters</p>
<p data-mce-fragment=""1"">Fabric : Japan Crepe silk</p>
<p data-mce-fragment=""1"">Time to ship : 7 to 8 working days</p>",SM,Saree,"CREPE, JAPAN CREPE, PINK, RJ, SILK",TRUE,Title,Default Title,,,,,ZB-RJ-KASA-DIGITAL-159005-RS,500,,1,deny,manual,5199.00,10398.00,0,0,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/4_31aa5363-5910-4e8d-a471-f9c13c89f4f6.jpg?v=1654007464,,,,,,,,,,,,,,,,,,,,g,,,active
blossom-pink-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/1_2cec24bb-23d1-4a7d-861c-f1e69c47b49b.jpg?v=1654007464,,,,,,,,,,,,,,,,,,,,,,,
blossom-pink-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/3_4559f966-8e69-4d6b-926c-81173481d897.jpg?v=1607166193,,,,,,,,,,,,,,,,,,,,,,,
Shopify Spy extracts only 100 products/variants on a free plan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
